Title,Topic,Date,Year,Abs,WORD_COUNT
"Empirical analysis of structural properties, macroscopic and microscopic evolution of various Facebook activity networks",QUALITY & QUANTITY,Jan 2018,2018,"Recently, some works have been done in studying activity network as a more realistic representation of users' behavior in online social networks. However, there is a major deficiency of a suitable definition of activity network based on a comprehensive study of various activity networks separately and combined. The main purpose of our research is to understand the differences between users' behavior by various Facebook activities, so as to claim that these networks should not be blindly composed; neither should the result of analyzing each of them individually be generalized to others. For this purpose, degree distribution, small-world phenomenon, degree correlation, reciprocity, and homophily by different attributes of various activity networks are studied. Then, we study densification and shrinking diameter properties and some structural characteristics of activity networks over time. We also examine microscopic evolution of different activity networks. Ultimately, we conclude that there are some differences between users' behavior by various Facebook activities but all evolve almost similarly at macroscopic and microscopic levels. However, post network evolves considerably different from other activity networks. Accordingly, a comprehensive definition for activity network is suggested so that the results of analyzing the modeled activity network fit realistic data.",
No place like home: Opinion formation with homophily and implications for policy decisions,JOURNAL OF MATHEMATICAL SOCIOLOGY,2018,2018,"We set up an opinion diffusion model with a local opinion leader, and using simulations we show the possibility of driving a significant wedge between the opinions of two groups that exhibit homophily although individuals are highly conformist. There exists an opinion gap between the group to which the opinion leader belongs and the other group. This opinion gap increases according to the relative size of the residence community. We show empirical traits related to our simulation: Employing Swiss national referenda data from 2008 to 2012, we show that members of parliament match referenda outcomes in their residence communities closer than they do in neighboring communities and that this wedge interacts significantly with the relative size of the residence community.",
Paths of Recruitment: Rational Social Prospecting in Petition Canvassing,AMERICAN JOURNAL OF POLITICAL SCIENCE,Jan 2018,2018,"Petition canvassers are political recruiters. Building upon the rational prospector model, we theorize that rational recruiting strategies are dynamic (Bayesian and time-conscious), spatial (constrained by geography), and social (conditioned on relations between canvasser and prospect). Our theory predicts that canvassers will exhibit homophily in their canvassing preferences and will alternate between ""door-to-door"" and ""attractor"" (working in a central location) strategies based upon systematic geographical variation. They will adjust their strategies midstream (mid-petition) based upon experience. Introducing methods to analyze canvassing data, we test these hypotheses on geocoded signatory lists from two petition drivesa 2005-6 anti-Iraq War initiative in Wisconsin and an 1839 antislavery campaign in New York City. Canvassers in these campaigns exhibited homophily to the point of following geographically and politically ""inefficient"" paths. In the aggregate, these patterns may exacerbate political inequality, limiting political involvement of the poorer and less educated.",
Efficacy of MBA: on the role of network effects in influencing the selection of elective courses,INTERNATIONAL JOURNAL OF EDUCATIONAL MANAGEMENT,2018,2018,"Purpose - The purpose of this paper is to outline the importance of social network effects in influencing the elective (courses) selection among masters of business administration (MBA) students and its role in influencing the efficacy of MBA. As such, given the enormous time and investment required for students to pursue an MBA and the role of electives in forming the student's knowledge base, it is important to consider the decision process of students while selecting elective courses as they pursue their degree.Design/methodology/approach - This study explores the relevance of network characteristics in the elective selection phenomena through questionnaires administered personally to 50 MBA students from a premier b-school in India. Thereby, it seeks to link the implications with MBA efficacy.Findings - In the sample, the authors found that social network connections in terms of homophily and heterophily (similar and dissimilar others) had the strongest association with elective course decisions. Further, the role of tie strength (the level of intensity of the social relationship between two individuals) in governing the phenomena was not confirmed.Practical implications - The authors discuss the linkage of elective selection phenomena with the efficacy of MBA. Specifically, the authors focus on a possible risk where network influences may prompt a student to select electives by surpassing his or her academic interests and thereby may hamper the efficacy. The authors also outline implications from the perspective of students, professors, and administrators.Originality/value - The study is among the initial studies to present preliminary evidence on the efficacy of MBA from the perspective of elective selection phenomena and the role of social network effects.",
Human capital of entrepreneurial teams in nascent high-tech sectors: a comparison between Cleantech and Internet,TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,2018,2018,"We use an inductive approach to understand what types of founders' human capital, at individual and team levels, are necessary to recognise and exploit entrepreneurial opportunities. A sample of 195 founders who teamed up in the nascent phases of Cleantech and Interned-based sectors is analysed. The results suggest a twofold moderating effect of the sectoral context. First, a more hard science-based and complex sector like Cleantech demands technically more skilled entrepreneurs, but at the same time, it still requires fairly commercially experienced and economically competent individuals. Furthermore, the business context also appears to exert an important influence on team formation dynamics: individuals are more prone to team-up with cofounders possessing complementary know-how when they are starting a new business venture in the Cleantech rather than in the Internet-based sector. Overall, these results stress the role of the specific high-tech business context at stake when analysing entrepreneurial team composition patterns.",
Americans are more exposed to difference than we think: Capturing hidden exposure to political and racial difference,SOCIAL NETWORKS,Jan 2018,2018,Use of name generators (NG) in assessing exposure to political difference has led to the conclusion that disagreement is uncommon. Data from two representative surveys tested a NG modification to probe for exposure to difference. Over half for whom NG results suggest no exposure to difference were able to name an alter who supported an alternative candidate. Over a quarter whose NG results indicate no exposure to a racial difference were able to name someone of the opposite race with whom they'd talked politics. These findings demonstrate that mixed or diverse networks are more common than prior NG research suggests. (C) 2017 Elsevier B.V. All rights reserved.,
A new look at clustering coefficients with generalization to weighted and multi-faction networks,SOCIAL NETWORKS,Jan 2018,2018,"In this paper we propose a new method for studying local and global clustering in networks employing random walk pairs. The method is intuitive and directly generalizes standard local and global clustering coefficients to weighted networks and networks containing nodes of multiple types. In the case of two mode networks the values obtained for commonly considered social networks are in sharp contrast to those obtained, for instance, by the method of Opsahl (2013), and provide a different viewpoint for clustering. The approach is also applicable in questions related to the general study of segregation and homophily. Applications to existent data sets are considered. (C) 2017 Elsevier B.V. All rights reserved.",
"Network Environments and Well-Being: An Examination of Personal Network Structure, Social Capital, and Perceived Social Support",HEALTH COMMUNICATION,2018,2018,"Previous studies have demonstrated the role of social networks, social capital, and social support in individuals' well-being. However, the ways in which these related constructs simultaneously influence one's well-being outcomes and relate to one another have not been closely examined. This study pays particular attention to the structural characteristics of personal networks, distinction between offline and online social capital, and different indicators of well-being outcomes. Based on survey data collected from 574 college students, the study found that two dimensions of personal networksdensity and gender homophilyand social capital in the form of offline bonding capital explained perceived social support. Further, perceived social support consistently predicted well-being outcomes and played a mediating role between personal network density and well-being, as well as between offline bonding capital and well-being. The results offer implications for a more nuanced understanding of the role of individuals' interpersonal and social environments in well-being outcomes.",
TI,SO,PD,PY,AB,
Dating across and hooking 'up': Status and relationship formation at an elite liberal arts university,DEMOGRAPHIC RESEARCH,Dec 14 2017,2017,"BACKGROUNDDemographic research on assortative mating underplays the role of social status in shaping partnering behavior, yet qualitative research suggests social status is critical in shaping partner desirability and structuring opportunities for partners to meet.OBJECTIVEThis study investigates how social status of sororities and fraternities shapes relationship formation between women and men on a college campus.METHODSWe draw on data from an online survey of sorority women at an elite liberal arts university about their romantic and sexual lives.RESULTSWhile status homophily is the dominant pattern in romantic relationships (dating 'across'), sorority women up and down the status hierarchy are more likely to hook 'up' with high-status fraternity men. Concern about status is also associated with dating and hooking 'up' the status hierarchy.CONCLUSIONSSocial status shapes the desirability of potential romantic and hookup partners and opportunities for potential partners to meet. Results also highlight gender differences in the operation of social status in cross-sex relationship formation.",
"Formation of homophily in academic performance: Students change their friends rather than performance (vol 12, e0183473, 2017)",PLOS ONE,Dec 7 2017,2017,,
Racial Inequities in HIV Prevalence and Composition of Risk Networks Among People Who Inject Drugs in HIV Prevention Trial Network 037,JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,Dec 1 2017,2017,"Background: HIV prevention interventions in the United States have failed to eliminate racial inequities. Here, we evaluate factors associated with racial inequities in HIV prevalence among people who inject drugs using HIV Prevention Trial Network 037 data.Methods: We measured racial homophily (ie, all members share the same race), being in an HIV+ network (network with >= 1 HIV+ member), and drug and sex risk behaviors. A 2-level logistic regression with a random intercept evaluated the association between being in an HIV+ network and race adjusting for individual-level and network-level factors.Results: Data from 232 index participants and 464 network members were included in the analysis. Racial homophily was high among blacks (79%) and whites (70%); 27% of all-black, 14% of all-white, and 23% of racially mixed networks included HIV+ members. Sex risk was similar across networks, but needle sharing was significantly lower in all-black (23%) compared with all-white (48%) and racially mixed (46%) networks. All-black [adjusted odds ratio (AOR), 3.6; 95% confidence interval (CI), 1.4 to 9.5] and racially mixed (AOR, 2.0; 95% CI: 1.1 to 3.7) networks were more likely to include HIV+ network members; other factors associated with being in HIV+ network included homelessness (AOR, 2.0; 95% CI, 1.2 to 3.2), recent incarceration (AOR, 0.4; 95% CI, 0.2 to 0.7), and cocaine injection (AOR, 1.7; 95% CI, 1.0 to 2.7). Risk behaviors were not associated with being in an HIV+ network.Conclusion: Despite having lower drug risk behavior, all-black networks disproportionately included HIV+ members. HIV prevention interventions for people who inject drugs need to go beyond individual risk and consider the composition of risk networks.",
Rationalization and identification of binary games with correlated types,JOURNAL OF ECONOMETRICS,Dec 2017,2017,"This paper studies the rationalization and identification of binary games where players have correlated private types. Allowing for type correlation is crucial in global games and in models with social interactions as it represents correlated private information and homophily, respectively. Our approach Is fully nonparametric in the joint distribution of types and the strategic effects in the payoffs. First, under monotone pure Bayesian Nash Equilibrium strategy, we characterize all the restrictions if any on the distribution of players' choices imposed by the game-theoretic model as well as restrictions associated with two assumptions frequently made in the empirical analysis of discrete games. Namely, we consider exogeneity of payoff shifters relative to private information, and mutual independence of private information given payoff shifters. Second, we study the nonparametric identification of the payoff functions and types distribution. We show that the model with exogenous payoff shifters is fully identified up to a single location-scale normalization under some exclusion restrictions and rank conditions. Third, we discuss partial identification under weaker conditions and multiple equilibria. Lastly, we briefly point out the implications of our results for model testing and estimation. (C) 2017 Elsevier B.V. All rights reserved.",
Clustering by Well-Being in Workplace Social Networks: Homophily and Social Contagion,EMOTION,Dec 2017,2017,"Social interaction among employees is crucial at both an organizational and individual level. Demonstrating the value of recent methodological advances, 2 studies conducted in 2 workplaces and 2 countries sought to answer the following questions: (a) Do coworkers interact more with coworkers who have similar well-being? and, if yes, (b) what are the processes by which such affiliation occurs? Affiliation was assessed via 2 methodologies: a commonly used self-report measure (i.e., mutual nominations by coworkers) complemented by a behavioral measure (i.e., sociometric badges that track physical proximity and social interaction). We found that individuals who share similar levels of well-being (e.g., positive affect, life satisfaction, need satisfaction, and job satisfaction) were more likely to socialize with one another. Furthermore, time-lagged analyses suggested that clustering in need satisfaction arises from mutual attraction (homophily), whereas clustering in job satisfaction and organizational prosocial behavior results from emotional contagion. These results suggest ways in which organizations can physically and socially improve their workplace.",
IN THE BEGINNING: IDENTITY PROCESSES AND ORGANIZING IN MULTI-FOUNDER NASCENT VENTURES,ACADEMY OF MANAGEMENT JOURNAL,Dec 1 2017,2017,"We conducted a longitudinal field study of nine nascent ventures attempting to revitalize local municipalities to understand how and why identity processes shape organizing in multi-founder nascent ventures. We develop grounded theory and a process model showing how the patterning of founders' social and role identities shapes early structuring processes, how this in turn influences the construction of a collective identity prototype and its attempted enforcement by an in-group, and how the overall process influences whether or not founders remain engaged in their joint organizing efforts. In some cases, founders' identities adjust as they experience periods of pragmatic deference, contestation, and domination by an in-group that moves increasingly toward identity homophily. Our contributions extend the growing entrepreneurship literature on founder identity from an individual focus toward understanding how founding teams work through organizing issues, and from a focus on established organizations to exploring why and whether teams move forward in nascent ventures. We open up a series of important questions for future research about how founders become ""who we are.""",
Self-Organizing Into Winning Teams: Understanding the Mechanisms That Drive Successful Collaborations,SMALL GROUP RESEARCH,Dec 2017,2017,"Contemporary teams are self-assembling with increasing frequency, meaning the component members are choosing to join forces with some degree of agency rather than being assigned to work with one another. However, the majority of the teams literature up until this point has focused on randomly assigned or staffed teams. Thus, the purpose of the current study was to investigate how people do form into teams and how people should form into teams. Specifically, we utilized a sample of digital traces from a massively multiplayer online role-playing game (N = 1,568) to evaluate the bases for and performance implications of team self-assembly. The results indicated that self-assembled teams form via three mechanisms: homophily, familiarity, and proximity. Moreover, results of the trace data analyses indicated that successful and unsuccessful teams were homogeneous in terms of different characteristics, and successful teams formed based on friendship more often than unsuccessful teams did.",
Social streaming? Navigating music as personal and social,CONVERGENCE-THE INTERNATIONAL JOURNAL OF RESEARCH INTO NEW MEDIA TECHNOLOGIES,Dec 2017,2017,"Music-streaming services embed social features that enable users to connect to one another and use music as social objects. This article examines how these features are experienced within negotiations of music as personal and social through the acts of sharing music and of following others. The analysis relies on 23 focus-group interviews with 124 Spotify and/or Tidal users and a mixed-method study including music-diary self-reports, online observation and interviews with 12 heavy users. Our findings suggest that users incorporate social awareness in non-sharing, selective-sharing and all-sharing approaches with strong, weak and absent ties. These ties are characterized by different configurations of social and music homophily. Negotiations of music as personal and social shape how music-streaming services are experienced.",
Making and Keeping Friends: The Importance of Being Similar,CHILD DEVELOPMENT PERSPECTIVES,Dec 2017,2017,"Similarity is central to friendship. The origins of homophily (love of the same) between friends are varied, but they all serve the same purpose: fostering compatibility and maintaining the rewards of affiliation. Interpersonal attraction is grounded on similarity. Similar individuals have much in common and find it easy to get along. Friends are selected on the basis of resemblances and friends influence one another to become more similar over time. Friends also resist changes that promote dissimilarity because differences increase the risk that the friendship will dissolve. Similarity is an essential feature of friendship at all stages of life, but it assumes special significance during adolescence when changes in autonomy coincide with changes in the social world to raise the profile of friends.",
Do individuals with maladaptive personality traits find these same traits desirable in potential romantic partners?,PERSONALITY AND INDIVIDUAL DIFFERENCES,Dec 1 2017,2017,"Individuals are generally attracted to other people with similar personality traits, but it is unclear whether these patterns replicate for maladaptive personality traits. Accordingly, we examined the association between individuals' own maladaptive personality traits and how desirable they found those traits in a potential romantic partner (N = 334). As hypothesized, individuals with higher levels of maladaptive personality traits rated those traits as being more desirable in a romantic partner. However, the mean desirability ratings of individuals with higher levels of maladaptive traits indicated that they rated these traits as less undesirable than the average participant but not actually desirable. These results suggest that the positive overall associations may reflect these individuals being more willing to settle for these less desirable partners rather than actively seeking them out. Further research examining the mechanisms underlying these patterns and how these choices play out in real world contexts would be valuable. (C) 2017 Elsevier Ltd. All rights reserved.",
Modelling socially-influenced conditional preferences over feature values in recommender systems based on factorised collaborative filtering,EXPERT SYSTEMS WITH APPLICATIONS,Nov 30 2017,2017,"Recommender systems have gained much attention due to their great commercial benefits in electronic markets. The quality of the recommendations depends on the quality of the preference model extracted by the recommender system. Recently, latent factor models based on probabilistic matrix factorisation have gained much attention, owing to their superior accuracy over traditional recommender systems and their great efficiency. Although latent factor models are very efficient, they mostly ignore the user preferences over different item feature values. For example, they assume that lower prices are preferred by all users. However, there may be users who believe that a high price comes with better quality or more prestige. Furthermore, according to homophily and social influence in social sciences, similar users in a social network tend to acquire similar tastes through social interactions. Therefore, all components of human preferences including feature value discrepancies are subject to social influence. Moreover, most of the latent factor models ignore the possible dependencies that naturally exist between item features. To tackle these problems, in this paper we propose two novel latent factor models incorporating socially influenced feature value discrepancies, and socially-influenced conditional feature value discrepancies. We test the accuracy of the proposed methods on three well-known benchmark datasets. The extensive experiments show that the proposed method achieves significantly higher accuracies than all state of the art traditional, latent factor, and social recommendation models. (C) 2017 Elsevier Ltd. All rights reserved.",
"Class attendance, peer similarity, and academic performance in a large field study",PLOS ONE,Nov 8 2017,2017,"Identifying the factors that determine academic performance is an essential part of educational research. Existing research indicates that class attendance is a useful predictor of subsequent course achievements. The majority of the literature is, however, based on surveys and self-reports, methods which have well-known systematic biases that lead to limitations on conclusions and generalizability as well as being costly to implement. Here we propose a novel method for measuring class attendance that overcomes these limitations by using location and bluetooth data collected from smartphone sensors. Based on measured attendance data of nearly 1,000 undergraduate students, we demonstrate that early and consistent class attendance strongly correlates with academic performance. In addition, our novel dataset allows us to determine that attendance among social peers was substantially correlated (>0.5), suggesting either an important peer effect or homophily with respect to attendance.",
"Happy Tourists, Unhappy Locals",SOCIAL INDICATORS RESEARCH,Nov 2017,2017,"The most recent of literature focuses more often on the happiness of tourists, rather than the happiness of residents affected by tourism. However, this study aims at filling this gap with a new and refreshing perspective. This is carried out by using the European Social Survey (2010-2012) merged with Eurostat tourism data at the province (NUTS2) level. Staying consistent with homophily or ingroup preference theories, we find that domestic tourists contribute more to the happiness of locals than foreign tourists. Also by staying consistent with Irridex theory, we find that tourism at low levels of development contributes more to happiness than tourism at a high level of development.",
"Beyond ""birds of a feather"": A social inference approach to attachment-dependent grouping",JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,Nov 2017,2017,"Homophily-social grouping on the basis of similar traits-is a well-established intergroup dynamic. However, some evidence suggests that homophily emerges as a byproduct of people's inferences about desirable qualities (e.g. trustworthiness, openness to experience) in others. We apply this social inference approach to studying how people form groups on the basis of their attachment styles. In a behavioral tracking study involving large samples of strangers interacting in a sports stadium, we found that people affiliate with others who share their degree of attachment avoidance, but who do not share their degree of attachment anxiety. These findings are consistent with evidence that avoidantly attached individuals but-not anxiously attached individuals-display qualities they find desirable in others. It also suggests that accounts of intergroup behavior and social identity that treat similarity as an interpersonal goal might not capture the psychological processes behind group formation, and that a more nuanced social inference approach is needed to explain large-scale patterns of social grouping.",
Gender and racial peer effects with endogenous network formation,REGIONAL SCIENCE AND URBAN ECONOMICS,Nov 2017,2017,"We apply a high order spatial autoregressive (SAR) model to simultaneously capture'heterogeneous peer effects from multiple gender and racial groups, as well as endogenous network formation. In students' GPA and smoking behaviors, we find that within-gender endogenous effects are stronger than cross-gender effects. Females and whites are more sensitive to peer influences and more influential than other students. Intra-race spillover effects are stronger than inter-race effects for whites, but not for non-whites. Homophily on observed and unobserved characteristics are important for friendship formation. However, the formation of friendship is not necessary motivated by common interest in outcomes such as smoking. Our findings suggest that coeducational or desegregated schooling may help increase academic achievement, but not reduce smoking frequency.",
Information Connections among Multiple Investors: Evolutionary Local Patterns Revealed by Motifs,SCIENTIFIC REPORTS,Oct 25 2017,2017,"The concept of motifs provides a fresh perspective for studying local patterns, which is useful for understanding the essence of a network structure. However, few previous studies have focused on the evolutionary characteristics of weighted motifs while further considering participants' differences. We study how information connections differ among multiple investors. The evolutionary 10-year trend of weighted 3-motifs in China's energy stock markets is explored for the networks of co-holding behaviors among shareholders, who are classified as companies, funds and individuals. Our works allow us to detect the preferential local patterns distributed among different agents as their fluctuate involvement in networks. We find that the diversity of shareholders contributes to the statistical significance of local patterns, while homophily always exist among individuals. Modules of information connections are stable among reserved investors, which is especially apparent among companies. Individuals prefer to keep their connections with companies and funds. Unsteady modules happen owing to strengthen links among funds during the time that they are main participants in stock markets. More details about multiple investors informationally connected in evolutionary local patterns can be detected by our work.",
Examining the Social Context of Injection Drug Use: Social Proximity to Persons Who Inject Drugs Versus Geographic Proximity to Persons Who Inject Drugs,AMERICAN JOURNAL OF EPIDEMIOLOGY,Oct 15 2017,2017,"In this analysis, we used social network and spatial data to examine associations between people's drug injection status and their social and/or spatial proximity to others who injected drugs. We recruited 503 rural Kentucky residents who used drugs to participate in the Social Networks among Appalachian People (SNAP) Study (2008-2010). Interviewer-administered surveys collected information on recent (past 6 months) sex, drug-use, and social-support network members (n = 897 ties). Using network simulations, we determined a threshold for the association between social proximity to others who injected drugs and recent injection status (""socially proximal"" was defined by a shortest path = 2). We defined ""geographically proximal"" as the median road-network distance between pairs of individuals who both injected drugs (<= 7 miles (<= 11.2 km)). Logistic regression was used to determine the independent and joint associations between the number of socially and/or geographically proximal injecting peers and a person's injection status. After adjustment, the odds of recent injection increased by 0.4% for each injecting peer who was geographically proximal but not socially proximal, 12% for each geographically and socially proximal injecting peer, and 22% for each injecting peer who was socially proximal but not geographically proximal. When implementing networkbased interventions which promote cessation of injection drug use, investigators should consider collecting sociometric network data to examine whether the intervention diffuses through the network and whether there are additive or threshold effects.",
Building trust networks in the absence of trust relations,FRONTIERS OF INFORMATION TECHNOLOGY & ELECTRONIC ENGINEERING,Oct 2017,2017,"User-specified trust relations are often very sparse and dynamic, making them difficult to accurately predict from online social media. In addition, trust relations are usually unavailable for most social media platforms. These issues pose a great challenge for predicting trust relations and further building trust networks. In this study, we investigate whether we can predict trust relations via a sparse learning model, and propose to build a trust network without trust relations using only pervasively available interaction data and homophily effect in an online world. In particular, we analyze the reliability of predicting trust relations by interaction behaviors, and provide a principled way to mathematically incorporate interaction behaviors and homophily effect in a novel framework, bTrust. Results of experiments on real-world datasets from Epinions and Ciao demonstrated the effectiveness of the proposed framework. Further experiments were conducted to understand the importance of interaction behaviors and homophily effect in building trust networks.",
"My friend far, far away: a random field approach to exponential random graph models",ECONOMETRICS JOURNAL,Oct 2017,2017,"We explore the asymptotic properties of strategic models of network formation in very large populations. Specifically, we focus on (undirected) exponential random graph models. We want to recover a set of parameters from the individuals' utility functions using the observation of a single, but large, social network. We show that, under some conditions, a simple logit-based estimator is coherent, consistent and asymptotically normally distributed under a weak version of homophily. The approach is compelling as the computing time is minimal and the estimator can be easily implemented using pre-programmed estimators available in most statistical packages. We provide an application of our method using the Add Health database.",
Social and spatial effects on genetic variation between foraging flocks in a wild bird population,MOLECULAR ECOLOGY,Oct 2017,2017,"Social interactions are rarely random. In some instances, animals exhibit homophily or heterophily, the tendency to interact with similar or dissimilar conspecifics, respectively. Genetic homophily and heterophily influence the evolutionary dynamics of populations, because they potentially affect sexual and social selection. Here, we investigate the link between social interactions and allele frequencies in foraging flocks of great tits (Parus major) over three consecutive years. We constructed co-occurrence networks which explicitly described the splitting and merging of 85,602 flocks through time (fission-fusion dynamics), at 60 feeding sites. Of the 1,711 birds in those flocks, we genotyped 962 individuals at 4,701 autosomal single nucleotide polymorphisms (SNPs). By combining genomewide genotyping with repeated field observations of the same individuals, we were able to investigate links between social structure and allele frequencies at a much finer scale than was previously possible. We explicitly accounted for potential spatial effects underlying genetic structure at the population level. We modelled social structure and spatial configuration of great tit fission-fusion dynamics with eigenvector maps. Variance partitioning revealed that allele frequencies were strongly affected by group fidelity (explaining 27%-45% of variance) as individuals tended to maintain associations with the same conspecifics. These conspecifics were genetically more dissimilar than expected, shown by genomewide heterophily for pure social (i.e., space-independent) grouping preferences. Genomewide homophily was linked to spatial configuration, indicating spatial segregation of genotypes. We did not find evidence for homophily or heterophily for putative socially relevant candidate genes or any other SNP markers. Together, these results demonstrate the importance of distinguishing social and spatial processes in determining population structure.",
To Whom Do Prior Offenders Pose a Risk? Victim-Offender Similarity in Police-Reported Violent Crime,CRIME & DELINQUENCY,Oct 2017,2017,"This study assessed whether the higher risk of victimization among criminally active and socially disadvantaged individuals is related to violent incidents including offenders with criminal backgrounds. The analysis is based on a Finnish general population sample (N = 69,635) using a 7-year-follow-up of police-reported violent incidents that enabled the measurement of criminal background of the ""outside-sample"" opposite parties involved in the incidents. The association between socioeconomic/criminal background and victimization grew stronger by the intensity of the criminal background of the offender. The results indicate that the risk posed by prior offenders is disproportionally targeted toward criminally active and disadvantaged individuals.",
From triadic closure to conference closure: the role of academic conferences in promoting scientific collaborations,SCIENTOMETRICS,Oct 2017,2017,"An academic conference is not only a venue for publishing papers but also a nursery room for new scientific encounters. While previous research has investigated scientific collaboration mechanisms based on the triadic closure and focal closure, in this paper, we propose a new collaboration mechanism named conference closure. Conference closure means that scholars involved in a common conference may collaborate with each other in the future. We analyze the extent to which scholars will meet new collaborators from both the individual and community levels by using 22 conferences in the field of data mining extracted from DBLP digital library. Our results demonstrate the existence of conference closure and this phenomenon is more remarkable in conferences with high field rating and large scale attendees. Scholars involved in multiple conferences will encounter more collaborators from the conferences. Another interesting finding is that although most conference attendees are junior scholars with few publications, senior scholars with fruitful publications may gain more collaborations during the conference. Meanwhile, the conference closure still holds if we control the productivity homophily. Our study will shed light on evaluating the impact of a conference from the social function perspective based on the index of conference closure.",
Is the housing market blind to religion? A perceived substitutability approach to homophily and social integration,URBAN STUDIES,Oct 2017,2017,"Housing markets are unlikely to be impervious to the preferences and prejudices associated with urban segregation. For example, two neighbourhoods with very different religious attributes are unlikely to be perceived as close substitutes by homebuyers that have a strong preference for neighbours of a particular religion. This paper offers a new framework for the conception and measurement of social integration, defined in terms of perceived homophily. Homophily is the tendency for links to form between similar nodes in a network and we can think of perceived homophily as the tendency for any pair of neighbourhoods to be considered by the housing market to be close substitutes. Textbook economic theory suggests that we should expect the degree of perceived substitutability to affect cross-price elasticities. These can be measured empirically to reveal discontinuities in the network of perceived substitutability of different housing locations. Applying homophily coefficients to substitutability measures allows us to estimate perceived religious homophily between neighbourhoods. The approach can be applied to any city or region that has geocoded house transactions and socio-demographic data. We illustrate the method using data on Glasgow and find strong evidence of religious homophily. This suggests an underlying lack of social integration/cohesion and implies that the Glaswegian housing market is by no means blind to religion.",
Neighborhood isolation in Chicago: Violent crime effects on structural isolation and homophily in inter-neighborhood commuting networks,SOCIAL NETWORKS,Oct 2017,2017,"Urban sociologists and, criminologists have long been interested in the link between neighborhood isolation and crime. Yet studies have focused predominantly on the internal dimension of social isolation (i.e., increased social disorganization and insufficient jobs and opportunities). This study highlights the need to assess the external dimension of neighborhood isolation, the disconnectedness from other neighbor-hoods in the city. Analyses of Chicago's neighborhood commuting network over twelve years (2002-2013) showed that violence predicted network isolation. Moreover, pairwise similarity in neighborhood violence predicted commuting ties, supporting homophily expectations. Violence homophily affected tie formation most, while neighborhood violence was important in dissolving ties. (C) 2017 Elsevier B.V. All rights reserved.",
At the intersection of criminal justice involvement and sexual orientation: Dynamic networks and health among a population-based sample of young Black men who have sex with men,SOCIAL NETWORKS,Oct 2017,2017,"Mass incarceration of young Black men has a significant impact on their network composition and stability that, in turn, may have major implications for health and well-being. A sub-group of young Black men with criminal justice involvement (CJI) identify as gay, bisexual or are non-identified men who have sex with men (hereafter MSM). This paper focuses on the potential effects of CJI on the composition of Black MSM social and sexual networks, their stability over time, and concomitant health and social outcomes. We use data from the UConnect study, a population-based cohort of young Black MSM 16-29 years of age (n = 618) selected using respondent -driven sampling in Chicago from 2013 to 2016. Both confidant and sexual network name generators and interpreters were administered at 9-month intervals over three waves of data collection. Ego and dyadic-level data were collected on behaviors prevalent among MSM and including factors associated with network CJI, network stability, and health outcomes. Generalized Structural Equation Models (GSEM) were utilized to determine the relationship between CJI network composition, network stability and behaviors prevalent among young Black MSM and their networks. In the UConnect cohort, 46% had at least once been detained, arrested or spent time in jail or prison. In addition, 20% of participants reported incident CJI over the study period. Respondents with a history of CJI were significantly more likely to have CJI homophily in their confidant and sexual networks. Multivariate analyses demonstrate that the association between one's history of CJI, housing instability and drug use is partially explained by one's network CJI. In addition, a higher prevalence of network CJI is associated with increased turnover in the confidant network, and this network instability is also related to important health and social outcomes. This analysis describes the networks of criminal justice involved men among a representative sample of young Black MSM and demonstrates the relationship between CJI network homophily, network stability and their impact on several key health and social outcomes relevant to this population. (C) 2017 Elsevier B.V. All rights reserved.",
DANCer: dynamic attributed networks with community structure generation,KNOWLEDGE AND INFORMATION SYSTEMS,Oct 2017,2017,"Most networks, such as those generated from social media, tend to evolve gradually with frequent changes in the activity and the interactions of their participants. Furthermore, the communities inside the network can grow, shrink, merge, or split, and the entities can move from one community to another. The aim of community detection methods is precisely to detect the evolution of these communities. However, evaluating these algorithms requires tests on real or artificial networks with verifiable ground truth. Dynamic networks generators have been recently proposed for this task, but most of them consider only the structure of the network, disregarding the characteristics of the nodes. In this paper, we propose a new generator for dynamic attributed networks with community structure that follow the properties of real-world networks. The evolution of the network is performed using two kinds of operations: Micro-operations are applied on the edges and vertices, while macro-operations on the communities. Moreover, the properties of real-world networks such as preferential attachment or homophily are preserved during the evolution of the network, as confirmed by our experiments.",
